,PC_1,PC_2,PC_3,class,CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
EXO,-0.36144918113566954,-1.806627448209229,-0.2804732786916747,0,Exosis,Exosis,PoW,406091.925,21000000
BEAM,-0.35168508243927266,-1.6825622043813209,-0.35284444920193014,0,Beam,Equihash,PoW,35687520.0,262800000
GALI,-0.2127446710714749,1.3612890901776917,0.6232787977980193,1,Galilel,Quark,PoW/PoS,18265011.248600602,19035999
BTH,-0.35346703098716864,-1.6824252934260833,-0.3528339236624598,0,Bithereum,Equihash,PoW,25150787.5,30886000
CSPN,-0.25869427396413186,1.8496452017013445,-0.9679983274365103,1,Crypto Sports,Quark,PoS,1934701.67524713,13370000
SLC,-0.3441493441840515,-1.3922342754087056,0.024303185859606263,0,SLICE,QuBit,PoW,12925790.4226959,100000000
BEET,-0.14076729469046625,1.0110617124695358,1.012656633345436,1,Beetle Coin,XEVAN,PoW/PoS,198938144.363399,500000000
TTN,-0.10147268985455106,1.200655388127165,1.5722620396198048,1,Titan Coin,SHA-256D,PoW/PoS,896361168.0,5000000000
ALX,2.0850691844634475,0.8164518109290257,-0.4031461764057868,1,ALAX,DPoS,DPoS,1000000000.0,1000000000
UFO,-0.29087297391310823,-1.4663452463341642,0.0034056485959594743,0,UFO Coin,NeoScrypt,PoW,3824685012.0,4000000000
BLC,-0.3036996218089303,-1.8254678698377538,-0.2837447435585441,0,BlakeCoin,Blake,PoW,23356790.1494191,7000000000
GRS,-0.3351845004904059,-1.1793034618639922,0.1815377383792138,0,Groestlcoin,Groestl,PoW,73298203.8873662,105000000
RADS,-0.2670442816325374,2.173871338110605,-1.7496806418452062,1,Radium,PoS,PoS,3821245.74150193,9000000
LSK,2.072268279974778,0.8174175182252975,-0.40296707543449145,1,Lisk,DPoS,DPoS,120012140.0,159918400
FSC,-0.23136756887739038,0.27835713235469867,0.9300026102551276,1,FriendshipCoin,NeoScrypt,PoW/PoS,1120385.00502,60168145
